Product_ID,Category,Current_Price,Competitor_Price,Demand_Level,Season,Day_of_Week,Units_Sold,Stock,Cost_per_Unit,Profit,Price_Diff,Price_Ratio,Price_Demand_Interaction,Log_Current_Price,Log_Competitor_Price
P1058,Books,1087.44,1574.29,Medium,Autumn,Thursday,146,653,714.76,54411.28,-486.85,0.69,2174.88,6.99,7.36
P1059,Sports,1201.34,1530.04,Medium,Monsoon,Thursday,327,260,859.2,111879.78,-328.7,0.79,2402.68,7.09,7.33
P1060,Beauty,169.6,983.36,Low,Summer,Saturday,33,312,97.93,2365.11,-813.76,0.17,169.6,5.14,6.89
P1061,Electronics,756.24,137.09,High,Summer,Tuesday,3,131,409.98,1038.78,619.15,5.52,2268.72,6.63,4.93
P1062,Electronics,1460.1,653.64,Low,Festival,Friday,284,227,733.03,206487.88,806.46,2.23,1460.1,7.29,6.48
P1063,Books,441.09,619.99,Medium,Autumn,Sunday,257,62,289.49,38961.2,-178.9,0.71,882.18,6.09,6.43
P1064,Electronics,446.98,1631.62,Low,Summer,Wednesday,126,135,283.71,20572.02,-1184.64,0.27,446.98,6.1,7.4
P1065,Toys,69.68,220.77,Medium,Monsoon,Saturday,447,168,43.62,11648.82,-151.09,0.32,139.36,4.26,5.4
P1066,Electronics,903.09,1621.07,High,Spring,Wednesday,113,680,570.45,37588.32,-717.98,0.56,2709.27,6.81,7.39
P1067,Sports,1771.33,1354.91,Medium,Autumn,Monday,303,804,1343.14,129741.57,416.42,1.31,3542.66,7.48,7.21
P1068,Sports,151.21,1478.26,Low,Winter,Saturday,293,610,79.57,20990.52,-1327.05,0.1,151.21,5.03,7.3
P1069,Clothing,422.68,892.82,High,Autumn,Sunday,342,185,268.56,52709.04,-470.14,0.47,1268.04,6.05,6.8
P1070,Sports,654.66,1375.47,Medium,Autumn,Wednesday,48,301,359.15,14184.48,-720.81,0.48,1309.32,6.49,7.23
P1071,Clothing,1476.86,1237.61,Medium,Monsoon,Friday,364,954,922.22,201888.96,239.25,1.19,2953.72,7.3,7.12
P1072,Sports,1299.24,1549.51,High,Monsoon,Wednesday,275,168,733.2,155661.0,-250.27,0.84,3897.72,7.17,7.35
P1073,Toys,861.09,921.2,Low,Summer,Tuesday,398,500,681.64,71421.1,-60.11,0.93,861.09,6.76,6.83
P1074,Clothing,1530.18,972.01,High,Festival,Thursday,195,770,950.48,113041.5,558.17,1.57,4590.54,7.33,6.88
P1075,Home Appliances,1238.78,1304.97,Low,Festival,Thursday,339,366,988.26,84926.28,-66.19,0.95,1238.78,7.12,7.17
P1076,Beauty,1797.28,260.75,Medium,Monsoon,Saturday,225,643,1295.6,112878.0,1536.53,6.89,3594.56,7.49,5.57
P1077,Books,1645.15,900.68,Medium,Summer,Wednesday,213,246,1006.75,135979.2,744.47,1.83,3290.3,7.41,6.8
P1078,Sports,542.99,1945.3,High,Summer,Wednesday,321,437,402.9,44968.89,-1402.31,0.28,1628.97,6.3,7.57
P1079,Electronics,579.31,123.23,Medium,Summer,Wednesday,282,134,373.99,57900.24,456.08,4.7,1158.62,6.36,4.82
P1080,Sports,294.45,666.21,High,Monsoon,Wednesday,138,324,213.51,11169.72,-371.76,0.44,883.35,5.69,6.5
P1081,Electronics,707.08,662.51,Medium,Festival,Tuesday,355,288,544.73,57634.25,44.57,1.07,1414.16,6.56,6.5
P1082,Beauty,1999.11,1285.26,Medium,Summer,Friday,333,876,1127.12,290372.67,713.85,1.56,3998.22,7.6,7.16
P1083,Beauty,841.21,256.31,Low,Monsoon,Tuesday,70,845,606.21,16450.0,584.9,3.28,841.21,6.74,5.55
P1084,Beauty,479.95,1275.66,High,Winter,Sunday,299,613,320.79,47588.84,-795.71,0.38,1439.85,6.18,7.15
P1085,Electronics,1536.84,235.33,High,Winter,Sunday,70,947,1193.32,24046.4,1301.51,6.53,4610.52,7.34,5.47
P1086,Sports,1107.82,235.16,Medium,Spring,Tuesday,483,114,824.32,136930.5,872.66,4.71,2215.64,7.01,5.46
P1087,Beauty,341.72,1469.96,Low,Winter,Tuesday,208,51,240.61,21030.88,-1128.24,0.23,341.72,5.84,7.29
P1088,Toys,792.34,682.06,Low,Autumn,Thursday,489,406,495.69,145061.85,110.28,1.16,792.34,6.68,6.53
P1089,Clothing,858.22,1955.97,High,Spring,Sunday,200,650,613.91,48862.0,-1097.75,0.44,2574.66,6.76,7.58
P1090,Electronics,1519.97,122.84,High,Winter,Tuesday,59,469,1177.9,20182.13,1397.13,12.37,4559.91,7.33,4.82
P1091,Electronics,90.31,917.96,Medium,Autumn,Wednesday,259,500,70.77,5060.86,-827.65,0.1,180.62,4.51,6.82
P1092,Sports,574.59,270.62,High,Winter,Tuesday,389,574,319.68,99159.99,303.97,2.12,1723.77,6.36,5.6
P1093,Electronics,1059.31,735.19,Medium,Monsoon,Wednesday,341,177,755.73,103520.78,324.12,1.44,2118.62,6.97,6.6
P1094,Electronics,574.25,1996.53,Low,Autumn,Saturday,351,611,421.14,53741.61,-1422.28,0.29,574.25,6.35,7.6
P1095,Beauty,1275.45,1783.24,High,Summer,Sunday,334,768,746.41,176699.36,-507.79,0.72,3826.35,7.15,7.49
P1096,Sports,989.64,144.23,Low,Monsoon,Friday,357,183,759.07,82313.49,845.41,6.86,989.64,6.9,4.98
P1097,Beauty,755.33,1148.35,Low,Autumn,Thursday,339,381,474.47,95211.54,-393.02,0.66,755.33,6.63,7.05
P1098,Clothing,1900.96,1313.25,Medium,Monsoon,Friday,165,608,1055.52,139497.6,587.71,1.45,3801.92,7.55,7.18
P1099,Clothing,1282.71,458.59,Low,Summer,Saturday,245,890,727.95,135916.2,824.12,2.8,1282.71,7.16,6.13
P1100,Beauty,303.39,332.96,Medium,Autumn,Friday,84,159,175.3,10759.56,-29.57,0.91,606.78,5.72,5.81
P1101,Clothing,1142.18,1813.54,Medium,Autumn,Thursday,436,258,858.84,123536.24,-671.36,0.63,2284.36,7.04,7.5
P1102,Sports,1572.43,1939.19,Low,Monsoon,Wednesday,450,636,1147.38,191272.5,-366.76,0.81,1572.43,7.36,7.57
P1103,Books,1431.55,1984.19,Low,Winter,Saturday,377,189,1125.52,115373.31,-552.64,0.72,1431.55,7.27,7.59
P1104,Beauty,385.57,1590.04,Medium,Autumn,Saturday,447,129,266.19,53362.86,-1204.47,0.24,771.14,5.96,7.37
P1105,Toys,1946.22,1343.83,Medium,Winter,Wednesday,391,37,1411.04,209255.38,602.39,1.45,3892.44,7.57,7.2
P1106,Toys,925.19,724.17,Low,Autumn,Wednesday,481,830,583.79,164213.4,201.02,1.28,925.19,6.83,6.59
P1107,Electronics,360.1,384.23,Medium,Festival,Thursday,309,126,276.18,25931.28,-24.13,0.94,720.2,5.89,5.95
P1108,Clothing,401.38,204.01,Medium,Spring,Sunday,114,712,209.54,21869.76,197.37,1.97,802.76,6.0,5.32
P1109,Toys,241.56,1401.93,High,Winter,Tuesday,234,666,126.42,26942.76,-1160.37,0.17,724.68,5.49,7.25
P1110,Electronics,1616.86,1580.21,High,Winter,Sunday,262,841,1032.11,153204.5,36.65,1.02,4850.58,7.39,7.37
P1111,Books,287.96,1661.58,High,Summer,Monday,391,271,200.92,34032.64,-1373.62,0.17,863.88,5.67,7.42
P1112,Sports,293.99,1831.84,High,Festival,Tuesday,172,663,207.07,14950.24,-1537.85,0.16,881.97,5.69,7.51
P1113,Sports,1708.42,1765.86,High,Summer,Sunday,18,635,894.3,14654.16,-57.44,0.97,5125.26,7.44,7.48
P1114,Sports,721.98,1999.5,Medium,Festival,Tuesday,235,905,461.27,61266.85,-1277.52,0.36,1443.96,6.58,7.6
P1115,Toys,110.17,525.92,Medium,Festival,Friday,310,794,66.52,13531.5,-415.75,0.21,220.34,4.71,6.27
P1116,Books,151.2,1538.45,High,Monsoon,Monday,383,47,78.3,27920.7,-1387.25,0.1,453.6,5.03,7.34
P1117,Toys,327.23,1193.6,Low,Monsoon,Wednesday,157,206,232.22,14916.57,-866.37,0.27,327.23,5.79,7.09
P1118,Clothing,466.12,559.43,High,Monsoon,Tuesday,211,534,313.02,32304.1,-93.31,0.83,1398.36,6.15,6.33
P1119,Toys,1347.04,1964.72,Low,Autumn,Sunday,281,633,686.95,185485.29,-617.68,0.69,1347.04,7.21,7.58
P1120,Books,356.79,1800.9,Medium,Summer,Thursday,319,446,285.27,22814.88,-1444.11,0.2,713.58,5.88,7.5
P1121,Books,281.81,300.61,Low,Spring,Tuesday,196,658,158.93,24084.48,-18.8,0.94,281.81,5.64,5.71
P1122,Clothing,1541.2,101.01,Medium,Festival,Wednesday,115,693,1095.22,51287.7,1440.19,15.26,3082.4,7.34,4.63
P1123,Books,1358.56,1392.24,Low,Festival,Sunday,397,648,1033.55,129028.97,-33.68,0.98,1358.56,7.21,7.24
P1124,Books,898.88,1228.05,Medium,Winter,Tuesday,160,883,582.98,50544.0,-329.17,0.73,1797.76,6.8,7.11
P1125,Sports,1121.15,1874.84,Medium,Autumn,Saturday,155,419,734.4,59946.25,-753.69,0.6,2242.3,7.02,7.54
P1126,Clothing,658.37,506.31,High,Spring,Friday,51,342,453.16,10465.71,152.06,1.3,1975.11,6.49,6.23
P1127,Home Appliances,990.88,214.56,Medium,Monsoon,Friday,418,540,768.82,92821.08,776.32,4.62,1981.76,6.9,5.37
P1128,Home Appliances,1038.01,555.47,High,Festival,Tuesday,284,953,550.94,138327.88,482.54,1.87,3114.03,6.95,6.32
P1129,Books,805.11,86.91,High,Winter,Friday,73,474,596.57,15223.42,718.2,9.26,2415.33,6.69,4.48
P1130,Home Appliances,1817.82,119.99,High,Summer,Thursday,328,729,1248.33,186792.72,1697.83,15.15,5453.46,7.51,4.8
P1131,Home Appliances,81.32,1833.97,Low,Festival,Monday,341,167,42.21,13336.51,-1752.65,0.04,81.32,4.41,7.51
P1132,Books,1575.23,736.43,Low,Winter,Tuesday,110,169,837.11,81193.2,838.8,2.14,1575.23,7.36,6.6
P1133,Home Appliances,292.55,851.08,Medium,Summer,Thursday,286,343,190.89,29074.76,-558.53,0.34,585.1,5.68,6.75
P1134,Toys,1605.22,85.82,High,Autumn,Saturday,221,761,876.67,161009.55,1519.4,18.7,4815.66,7.38,4.46
P1135,Electronics,1251.03,577.52,High,Monsoon,Thursday,9,385,979.46,2444.13,673.51,2.17,3753.09,7.13,6.36
P1136,Clothing,1694.39,1619.22,Medium,Summer,Thursday,397,88,887.03,320521.92,75.17,1.05,3388.78,7.44,7.39
P1137,Electronics,240.15,1250.21,High,Festival,Saturday,82,853,121.6,9721.1,-1010.06,0.19,720.45,5.49,7.13
P1138,Books,1140.01,1519.87,Medium,Spring,Wednesday,320,878,730.66,130992.0,-379.86,0.75,2280.02,7.04,7.33
P1139,Sports,1027.12,922.07,High,Summer,Tuesday,294,852,784.71,71268.54,105.05,1.11,3081.36,6.94,6.83
P1140,Clothing,1427.08,653.97,Low,Spring,Tuesday,375,206,768.51,246963.75,773.11,2.18,1427.08,7.26,6.48
P1141,Books,1091.87,991.48,Medium,Spring,Tuesday,22,129,861.08,5077.38,100.39,1.1,2183.74,7.0,6.9
P1142,Sports,1104.43,679.99,Medium,Summer,Monday,415,769,762.75,141797.2,424.44,1.62,2208.86,7.01,6.52
P1143,Electronics,887.71,1685.99,Low,Autumn,Thursday,99,660,605.59,27929.88,-798.28,0.53,887.71,6.79,7.43
P1144,Books,652.23,630.46,Medium,Summer,Tuesday,170,235,344.99,52230.8,21.77,1.03,1304.46,6.48,6.45
P1145,Clothing,990.42,1336.54,Low,Winter,Friday,190,604,679.42,59090.0,-346.12,0.74,990.42,6.9,7.2
P1146,Clothing,281.06,317.12,High,Monsoon,Wednesday,106,419,224.33,6013.38,-36.06,0.89,843.18,5.64,5.76
P1147,Beauty,1924.95,1389.39,Low,Spring,Saturday,320,547,1127.2,255280.0,535.56,1.39,1924.95,7.56,7.24
P1148,Toys,1443.1,1830.93,Low,Monsoon,Saturday,458,649,848.02,272546.64,-387.83,0.79,1443.1,7.28,7.51
P1149,Home Appliances,1907.31,1236.74,Medium,Festival,Monday,265,922,1469.34,116062.05,670.57,1.54,3814.62,7.55,7.12
P1150,Sports,492.12,1141.72,High,Spring,Sunday,382,744,265.18,86691.08,-649.6,0.43,1476.36,6.2,7.04
P1151,Beauty,1764.71,1924.18,Low,Festival,Saturday,351,348,1117.31,227237.4,-159.47,0.92,1764.71,7.48,7.56
P1152,Home Appliances,1627.14,1273.42,High,Winter,Wednesday,428,565,1071.61,237766.84,353.72,1.28,4881.42,7.4,7.15
P1153,Home Appliances,1370.45,556.12,Low,Winter,Sunday,447,605,828.62,242198.01,814.33,2.46,1370.45,7.22,6.32
P1154,Books,1268.81,620.16,Medium,Monsoon,Thursday,168,928,938.65,55466.88,648.65,2.05,2537.62,7.15,6.43
P1155,Home Appliances,667.27,1425.35,Low,Winter,Saturday,344,546,402.94,90929.52,-758.08,0.47,667.27,6.5,7.26
P1156,Toys,1642.0,1484.1,Low,Summer,Sunday,425,229,1024.71,262348.25,157.9,1.11,1642.0,7.4,7.3
P1157,Clothing,1027.96,641.82,High,Spring,Sunday,113,302,665.14,40998.66,386.14,1.6,3083.88,6.94,6.47
P1158,Beauty,188.24,723.42,Low,Festival,Saturday,328,213,129.73,19191.28,-535.18,0.26,188.24,5.24,6.59
P1159,Home Appliances,660.08,1982.56,Medium,Monsoon,Friday,306,889,475.77,56398.86,-1322.48,0.33,1320.16,6.49,7.59
P1160,Books,1873.83,248.81,Medium,Monsoon,Thursday,148,714,1037.49,123778.32,1625.02,7.53,3747.66,7.54,5.52
P1161,Toys,1708.83,839.06,Low,Winter,Tuesday,337,523,1001.63,238326.4,869.77,2.04,1708.83,7.44,6.73
P1162,Electronics,1964.72,171.77,Low,Winter,Wednesday,220,211,1418.87,120087.0,1792.95,11.44,1964.72,7.58,5.15
P1163,Clothing,1274.59,1651.1,High,Festival,Saturday,454,875,680.48,269725.94,-376.51,0.77,3823.77,7.15,7.41
P1164,Clothing,532.64,230.07,High,Spring,Friday,426,41,298.17,99884.22,302.57,2.32,1597.92,6.28,5.44
P1165,Beauty,367.49,1364.31,Medium,Spring,Wednesday,33,98,247.85,3948.12,-996.82,0.27,734.98,5.91,7.22
P1166,Clothing,414.48,160.14,High,Monsoon,Sunday,220,211,299.61,25271.4,254.34,2.59,1243.44,6.03,5.08
P1167,Home Appliances,88.6,1362.07,Low,Festival,Monday,319,960,58.03,9751.83,-1273.47,0.07,88.6,4.5,7.22
P1168,Books,811.83,1693.92,Medium,Monsoon,Friday,185,699,468.17,63577.1,-882.09,0.48,1623.66,6.7,7.44
P1169,Clothing,423.28,827.7,High,Autumn,Sunday,193,714,312.21,21436.51,-404.42,0.51,1269.84,6.05,6.72
P1170,Clothing,852.73,1068.15,Medium,Spring,Monday,361,681,545.78,110808.95,-215.42,0.8,1705.46,6.75,6.97
P1171,Electronics,1873.24,833.01,Low,Festival,Saturday,180,302,1470.5,72493.2,1040.23,2.25,1873.24,7.54,6.73
P1172,Electronics,889.55,635.95,High,Festival,Friday,355,725,488.44,142394.05,253.6,1.4,2668.65,6.79,6.46
P1173,Sports,1762.07,1616.36,Low,Monsoon,Tuesday,472,762,1173.67,277724.8,145.71,1.09,1762.07,7.47,7.39
P1174,Toys,1230.73,580.41,Low,Winter,Sunday,6,124,934.1,1779.78,650.32,2.12,1230.73,7.12,6.37
P1175,Home Appliances,531.91,1459.74,Medium,Festival,Wednesday,391,731,343.56,73644.85,-927.83,0.36,1063.82,6.28,7.29
P1176,Clothing,743.92,452.08,Medium,Monsoon,Wednesday,9,231,447.85,2664.63,291.84,1.65,1487.84,6.61,6.12
P1177,Clothing,213.64,537.21,Medium,Summer,Sunday,357,918,125.82,31351.74,-323.57,0.4,427.28,5.37,6.29
P1178,Books,700.25,706.1,High,Winter,Sunday,61,191,397.79,18450.06,-5.85,0.99,2100.75,6.55,6.56
P1179,Sports,1371.2,1198.85,High,Winter,Thursday,464,780,710.28,306666.88,172.35,1.14,4113.6,7.22,7.09
P1180,Toys,190.62,936.12,Medium,Spring,Friday,418,478,96.47,39354.7,-745.5,0.2,381.24,5.26,6.84
P1181,Sports,450.53,1503.03,High,Autumn,Friday,163,435,264.42,30335.93,-1052.5,0.3,1351.59,6.11,7.32
P1182,Beauty,793.81,466.46,High,Spring,Sunday,99,983,479.37,31129.56,327.35,1.7,2381.43,6.68,6.15
P1183,Toys,1965.0,70.81,Medium,Summer,Monday,148,561,1235.19,108011.88,1894.19,27.75,3930.0,7.58,4.27
P1184,Clothing,1580.48,1564.29,Low,Monsoon,Friday,58,851,1245.7,19417.24,16.19,1.01,1580.48,7.37,7.36
P1185,Clothing,1480.3,1652.22,High,Winter,Wednesday,215,843,790.73,148257.55,-171.92,0.9,4440.9,7.3,7.41
P1186,Toys,276.57,165.99,High,Winter,Friday,316,69,191.72,26812.6,110.58,1.67,829.71,5.63,5.12
P1187,Clothing,1572.94,1241.27,Low,Festival,Thursday,490,494,923.84,318059.0,331.67,1.27,1572.94,7.36,7.12
P1188,Home Appliances,1581.27,787.5,Low,Autumn,Thursday,182,20,1236.85,62684.44,793.77,2.01,1581.27,7.37,6.67
P1189,Toys,1222.15,1598.1,Low,Autumn,Sunday,35,641,662.1,19601.75,-375.95,0.76,1222.15,7.11,7.38
P1190,Sports,1981.21,1755.11,Medium,Festival,Wednesday,303,394,1554.86,129184.05,226.1,1.13,3962.42,7.59,7.47
P1191,Toys,684.25,1709.46,Low,Summer,Wednesday,46,419,476.75,9545.0,-1025.21,0.4,684.25,6.53,7.44
P1192,Clothing,1885.48,1565.55,Medium,Autumn,Wednesday,87,51,1294.57,51409.17,319.93,1.2,3770.96,7.54,7.36
P1193,Home Appliances,1833.73,574.65,Low,Winter,Friday,4,711,1411.68,1688.2,1259.08,3.19,1833.73,7.51,6.36
P1194,Home Appliances,72.39,1633.18,Low,Summer,Friday,266,132,48.9,6248.34,-1560.79,0.04,72.39,4.3,7.4
P1195,Beauty,927.73,1090.28,Medium,Spring,Tuesday,107,710,611.09,33880.48,-162.55,0.85,1855.46,6.83,7.0
P1196,Sports,1955.35,152.88,Medium,Spring,Saturday,75,261,1068.23,66534.0,1802.47,12.79,3910.7,7.58,5.04
P1197,Electronics,251.09,941.03,Low,Summer,Sunday,40,982,149.76,4053.2,-689.94,0.27,251.09,5.53,6.85
P1198,Electronics,1118.18,1887.21,Low,Winter,Saturday,127,613,883.88,29756.1,-769.03,0.59,1118.18,7.02,7.54
P1199,Toys,1958.97,1781.33,Low,Spring,Monday,183,493,1355.18,110493.57,177.64,1.1,1958.97,7.58,7.49
P1200,Beauty,1133.22,249.42,High,Monsoon,Friday,119,222,584.3,65321.48,883.8,4.54,3399.66,7.03,5.52
P1201,Books,420.14,1501.05,Low,Winter,Tuesday,73,839,259.17,11750.81,-1080.91,0.28,420.14,6.04,7.31
P1202,Toys,1185.26,1621.3,Medium,Festival,Tuesday,40,723,825.79,14378.8,-436.04,0.73,2370.52,7.08,7.39
P1203,Beauty,448.66,579.21,High,Autumn,Thursday,204,277,247.58,41020.32,-130.55,0.77,1345.98,6.11,6.36
P1204,Sports,1063.42,969.64,Medium,Summer,Friday,465,676,687.19,174946.95,93.78,1.1,2126.84,6.97,6.88
P1205,Sports,194.38,1436.43,High,Autumn,Tuesday,96,716,121.28,7017.6,-1242.05,0.14,583.14,5.27,7.27
P1206,Sports,1230.69,906.13,High,Festival,Thursday,279,549,758.98,131607.09,324.56,1.36,3692.07,7.12,6.81
P1207,Sports,1057.74,269.95,Medium,Spring,Monday,143,715,813.84,34877.7,787.79,3.92,2115.48,6.96,5.6
P1208,Sports,1493.31,1426.47,High,Monsoon,Thursday,115,933,846.65,74365.9,66.84,1.05,4479.93,7.31,7.26
P1209,Beauty,1279.87,1827.7,Medium,Winter,Monday,476,744,1001.02,132732.6,-547.83,0.7,2559.74,7.16,7.51
P1210,Beauty,1121.73,1322.35,Low,Winter,Saturday,372,628,759.12,134890.92,-200.62,0.85,1121.73,7.02,7.19
P1211,Home Appliances,1395.07,1558.91,High,Festival,Saturday,486,670,867.04,256622.58,-163.84,0.89,4185.21,7.24,7.35
