Product_ID,Category,Current_Price,Competitor_Price,Demand_Level,Season,Day_of_Week,Units_Sold,Stock,Rating
P1024,Toys,1687.34,1969.66,High,Spring,Thursday,417,991,3.51
P1025,Books,330.44,630.62,Low,Winter,Saturday,105,240,2.74
P1026,Sports,888.7,1219.42,High,Winter,Sunday,42,368,2.37
P1027,Electronics,1812.33,1564.15,Medium,Summer,Tuesday,176,171,1.85
P1028,Beauty,1699.41,1510.86,Medium,Winter,Sunday,245,738,3.42
P1029,Toys,831.84,691.11,Low,Spring,Monday,253,237,4.82
P1030,Sports,1538.06,1241.18,Low,Festival,Saturday,274,854,2.44
P1031,Books,1655.16,1748.97,Low,Summer,Thursday,447,230,4.53
P1032,Books,1783.33,80.12,Medium,Monsoon,Friday,334,755,1.6
P1033,Home Appliances,1111.79,899.68,High,Festival,Wednesday,92,82,4.74
P1034,Home Appliances,448.7,487.33,High,Spring,Monday,11,408,2.4
P1035,Clothing,547.85,807.83,Low,Summer,Friday,152,104,2.52
P1036,Electronics,626.6,861.18,Low,Autumn,Thursday,189,949,2.85
P1037,Sports,1207.91,1506.01,High,Winter,Friday,448,484,3.87
P1038,Sports,113.98,232.95,Low,Spring,Tuesday,164,104,3.88
P1039,Clothing,1290.28,1049.54,High,Summer,Wednesday,126,915,2.92
P1040,Beauty,760.49,1150.18,High,Festival,Monday,211,764,3.09
P1041,Beauty,625.72,1013.61,High,Summer,Saturday,461,894,1.12
P1042,Clothing,1765.02,1477.15,High,Autumn,Sunday,97,814,2.22
P1043,Beauty,947,798.39,Medium,Spring,Thursday,309,784,2.38
P1044,Home Appliances,235.35,1892.69,High,Summer,Wednesday,339,133,3.23
P1045,Sports,1662.16,989.52,Low,Monsoon,Thursday,47,809,3.23
P1046,Clothing,142.9,1163.87,Low,Spring,Sunday,308,509,3.84
P1047,Sports,1467.16,1659.79,Low,Spring,Friday,224,788,3.87
P1048,Books,1559.12,586.71,Low,Festival,Thursday,463,953,1.94
P1049,Home Appliances,737.58,196.64,Medium,Winter,Thursday,57,630,4.08
P1050,Toys,1658.34,1430.18,High,Monsoon,Friday,75,869,1.08
P1051,Home Appliances,1055.54,991.87,High,Autumn,Friday,254,973,3.86
P1052,Clothing,953.42,1798.18,Low,Summer,Sunday,151,57,1.41
P1053,Toys,138.54,1966.23,Low,Winter,Wednesday,59,822,3.92
P1054,Books,615.56,828.26,Low,Festival,Monday,325,104,3.11
P1055,Clothing,1865.47,860.11,High,Winter,Friday,440,486,2.75
P1056,Electronics,814.06,845.53,Medium,Spring,Wednesday,86,42,3.76
P1057,Sports,1116.07,682.88,Medium,Spring,Sunday,170,127,1.15
P1058,Books,1087.44,1574.29,Medium,Autumn,Thursday,146,653,1.89
P1059,Sports,1201.34,1530.04,Medium,Monsoon,Thursday,327,260,3.47
P1060,Beauty,169.6,983.36,Low,Summer,Saturday,33,312,4.39
P1061,Electronics,756.24,137.09,High,Summer,Tuesday,3,131,2.52
P1062,Electronics,1460.1,653.64,Low,Festival,Friday,284,227,2.04
P1063,Books,441.09,619.99,Medium,Autumn,Sunday,257,62,3.07
P1064,Electronics,446.98,1631.62,Low,Summer,Wednesday,126,135,3.49
P1065,Toys,69.68,220.77,Medium,Monsoon,Saturday,447,168,2.68
P1066,Electronics,903.09,1621.07,High,Spring,Wednesday,113,680,4.51
P1067,Sports,1771.33,1354.91,Medium,Autumn,Monday,303,804,3.09
P1068,Sports,151.21,1478.26,Low,Winter,Saturday,293,610,1.14
P1069,Clothing,422.68,892.82,High,Autumn,Sunday,342,185,1.89
P1070,Sports,654.66,1375.47,Medium,Autumn,Wednesday,48,301,2.8
P1071,Clothing,1476.86,1237.61,Medium,Monsoon,Friday,364,954,3.79
P1072,Sports,1299.24,1549.51,High,Monsoon,Wednesday,275,168,1.88
P1073,Toys,861.09,921.2,Low,Summer,Tuesday,398,500,4.91
P1074,Clothing,1530.18,972.01,High,Festival,Thursday,195,770,2.27
P1075,Home Appliances,1238.78,1304.97,Low,Festival,Thursday,339,366,3.13
P1076,Beauty,1797.28,260.75,Medium,Monsoon,Saturday,225,643,1.08
P1077,Books,1645.15,900.68,Medium,Summer,Wednesday,213,246,4.54
P1078,Sports,542.99,1945.3,High,Summer,Wednesday,321,437,4.16
P1079,Electronics,579.31,123.23,Medium,Summer,Wednesday,282,134,1.78
P1080,Sports,294.45,666.21,High,Monsoon,Wednesday,138,324,4.73
P1081,Electronics,707.08,662.51,Medium,Festival,Tuesday,355,288,2.26
P1082,Beauty,1999.11,1285.26,Medium,Summer,Friday,333,876,3.77
P1083,Beauty,841.21,256.31,Low,Monsoon,Tuesday,70,845,4.28
P1084,Beauty,479.95,1275.66,High,Winter,Sunday,299,613,3.96
P1085,Electronics,1536.84,235.33,High,Winter,Sunday,70,947,4.67
P1086,Sports,1107.82,235.16,Medium,Spring,Tuesday,483,114,4.46
P1087,Beauty,341.72,1469.96,Low,Winter,Tuesday,208,51,4.98
P1088,Toys,792.34,682.06,Low,Autumn,Thursday,489,406,1.73
P1089,Clothing,858.22,1955.97,High,Spring,Sunday,200,650,2.22
P1090,Electronics,1519.97,122.84,High,Winter,Tuesday,59,469,3.54
P1091,Electronics,90.31,917.96,Medium,Autumn,Wednesday,259,500,3.93
P1092,Sports,574.59,270.62,High,Winter,Tuesday,389,574,3.14
P1093,Electronics,1059.31,735.19,Medium,Monsoon,Wednesday,341,177,1.3
P1094,Electronics,574.25,1996.53,Low,Autumn,Saturday,351,611,4.37
P1095,Beauty,1275.45,1783.24,High,Summer,Sunday,334,768,4.84
P1096,Sports,989.64,144.23,Low,Monsoon,Friday,357,183,2.62
P1097,Beauty,755.33,1148.35,Low,Autumn,Thursday,339,381,1.9
P1098,Clothing,1900.96,1313.25,Medium,Monsoon,Friday,165,608,1.08
P1099,Clothing,1282.71,458.59,Low,Summer,Saturday,245,890,1.95
P1100,Beauty,303.39,332.96,Medium,Autumn,Friday,84,159,3.8
P1101,Clothing,1142.18,1813.54,Medium,Autumn,Thursday,436,258,4.65
P1102,Sports,1572.43,1939.19,Low,Monsoon,Wednesday,450,636,1.37
P1103,Books,1431.55,1984.19,Low,Winter,Saturday,377,189,3.21
P1104,Beauty,385.57,1590.04,Medium,Autumn,Saturday,447,129,3.78
P1105,Toys,1946.22,1343.83,Medium,Winter,Wednesday,391,37,2.11
P1106,Toys,925.19,724.17,Low,Autumn,Wednesday,481,830,3.28
P1107,Electronics,360.1,384.23,Medium,Festival,Thursday,309,126,3.86
P1108,Clothing,401.38,204.01,Medium,Spring,Sunday,114,712,4.35
P1109,Toys,241.56,1401.93,High,Winter,Tuesday,234,666,2.81
P1110,Electronics,1616.86,1580.21,High,Winter,Sunday,262,841,3.99
P1111,Books,287.96,1661.58,High,Summer,Monday,391,271,2.21
P1112,Sports,293.99,1831.84,High,Festival,Tuesday,172,663,1.85
P1113,Sports,1708.42,1765.86,High,Summer,Sunday,18,635,1.75
P1114,Sports,721.98,1999.5,Medium,Festival,Tuesday,235,905,2.44
P1115,Toys,110.17,525.92,Medium,Festival,Friday,310,794,1.14
P1116,Books,151.2,1538.45,High,Monsoon,Monday,383,47,2.13
P1117,Toys,327.23,1193.6,Low,Monsoon,Wednesday,157,206,3.61
P1118,Clothing,466.12,559.43,High,Monsoon,Tuesday,211,534,3.59
P1119,Toys,1347.04,1964.72,Low,Autumn,Sunday,281,633,1.29
P1120,Books,356.79,1800.9,Medium,Summer,Thursday,319,446,2.15
P1121,Books,281.81,300.61,Low,Spring,Tuesday,196,658,3.28
P1122,Clothing,1541.2,101.01,Medium,Festival,Wednesday,115,693,2.27
P1123,Books,1358.56,1392.24,Low,Festival,Sunday,397,648,2.67
P1124,Books,898.88,1228.05,Medium,Winter,Tuesday,160,883,3.85
P1125,Sports,1121.15,1874.84,Medium,Autumn,Saturday,155,419,1.04
P1126,Clothing,658.37,506.31,High,Spring,Friday,51,342,2.11
P1127,Home Appliances,990.88,214.56,Medium,Monsoon,Friday,418,540,1.57
P1128,Home Appliances,1038.01,555.47,High,Festival,Tuesday,284,953,1.51
P1129,Books,805.11,86.91,High,Winter,Friday,73,474,4.84
P1130,Home Appliances,1817.82,119.99,High,Summer,Thursday,328,729,2.51
P1131,Home Appliances,81.32,1833.97,Low,Festival,Monday,341,167,3.11
P1132,Books,1575.23,736.43,Low,Winter,Tuesday,110,169,3.94
P1133,Home Appliances,292.55,851.08,Medium,Summer,Thursday,286,343,1.19
P1134,Toys,1605.22,85.82,High,Autumn,Saturday,221,761,1.96
P1135,Electronics,1251.03,577.52,High,Monsoon,Thursday,9,385,4.33
P1136,Clothing,1694.39,1619.22,Medium,Summer,Thursday,397,88,4.45
P1137,Electronics,240.15,1250.21,High,Festival,Saturday,82,853,2.49
P1138,Books,1140.01,1519.87,Medium,Spring,Wednesday,320,878,2.5
P1139,Sports,1027.12,922.07,High,Summer,Tuesday,294,852,4.03
P1140,Clothing,1427.08,653.97,Low,Spring,Tuesday,375,206,2.18
P1141,Books,1091.87,991.48,Medium,Spring,Tuesday,22,129,1.47
P1142,Sports,1104.43,679.99,Medium,Summer,Monday,415,769,2.03
P1143,Electronics,887.71,1685.99,Low,Autumn,Thursday,99,660,2.55
P1144,Books,652.23,630.46,Medium,Summer,Tuesday,170,235,1.21
P1145,Clothing,990.42,1336.54,Low,Winter,Friday,190,604,2.91
P1146,Clothing,281.06,317.12,High,Monsoon,Wednesday,106,419,3.96
P1147,Beauty,1924.95,1389.39,Low,Spring,Saturday,320,547,3.05
P1148,Toys,1443.1,1830.93,Low,Monsoon,Saturday,458,649,1.29
P1149,Home Appliances,1907.31,1236.74,Medium,Festival,Monday,265,922,2.76
P1150,Sports,492.12,1141.72,High,Spring,Sunday,382,744,3.84
P1151,Beauty,1764.71,1924.18,Low,Festival,Saturday,351,348,1.23
P1152,Home Appliances,1627.14,1273.42,High,Winter,Wednesday,428,565,1.24
P1153,Home Appliances,1370.45,556.12,Low,Winter,Sunday,447,605,2.48
P1154,Books,1268.81,620.16,Medium,Monsoon,Thursday,168,928,1.78
P1155,Home Appliances,667.27,1425.35,Low,Winter,Saturday,344,546,4.74
P1156,Toys,1642,1484.1,Low,Summer,Sunday,425,229,3.33
P1157,Clothing,1027.96,641.82,High,Spring,Sunday,113,302,2.15
P1158,Beauty,188.24,723.42,Low,Festival,Saturday,328,213,3.82
P1159,Home Appliances,660.08,1982.56,Medium,Monsoon,Friday,306,889,2.5
P1160,Books,1873.83,248.81,Medium,Monsoon,Thursday,148,714,1.53
P1161,Toys,1708.83,839.06,Low,Winter,Tuesday,337,523,1.95
P1162,Electronics,1964.72,171.77,Low,Winter,Wednesday,220,211,3.57
P1163,Clothing,1274.59,1651.1,High,Festival,Saturday,454,875,1.21
P1164,Clothing,532.64,230.07,High,Spring,Friday,426,41,2.09
P1165,Beauty,367.49,1364.31,Medium,Spring,Wednesday,33,98,1.83
P1166,Clothing,414.48,160.14,High,Monsoon,Sunday,220,211,1.8
P1167,Home Appliances,88.6,1362.07,Low,Festival,Monday,319,960,3.73
P1168,Books,811.83,1693.92,Medium,Monsoon,Friday,185,699,4.3
P1169,Clothing,423.28,827.7,High,Autumn,Sunday,193,714,3.86
P1170,Clothing,852.73,1068.15,Medium,Spring,Monday,361,681,3.58
P1171,Electronics,1873.24,833.01,Low,Festival,Saturday,180,302,4.67
P1172,Electronics,889.55,635.95,High,Festival,Friday,355,725,1.23
P1173,Sports,1762.07,1616.36,Low,Monsoon,Tuesday,472,762,1.67
P1174,Toys,1230.73,580.41,Low,Winter,Sunday,6,124,2.66
P1175,Home Appliances,531.91,1459.74,Medium,Festival,Wednesday,391,731,2.49
P1176,Clothing,743.92,452.08,Medium,Monsoon,Wednesday,9,231,2.67
P1177,Clothing,213.64,537.21,Medium,Summer,Sunday,357,918,1.83
P1178,Books,700.25,706.1,High,Winter,Sunday,61,191,1.6
P1179,Sports,1371.2,1198.85,High,Winter,Thursday,464,780,3.04
P1180,Toys,190.62,936.12,Medium,Spring,Friday,418,478,4.71
P1181,Sports,450.53,1503.03,High,Autumn,Friday,163,435,2.57
P1182,Beauty,793.81,466.46,High,Spring,Sunday,99,983,1.17
P1183,Toys,1965,70.81,Medium,Summer,Monday,148,561,3.82
P1184,Clothing,1580.48,1564.29,Low,Monsoon,Friday,58,851,2.16
P1185,Clothing,1480.3,1652.22,High,Winter,Wednesday,215,843,1.98
P1186,Toys,276.57,165.99,High,Winter,Friday,316,69,2.3
P1187,Clothing,1572.94,1241.27,Low,Festival,Thursday,490,494,3.9
P1188,Home Appliances,1581.27,787.5,Low,Autumn,Thursday,182,20,4.28
P1189,Toys,1222.15,1598.1,Low,Autumn,Sunday,35,641,3.35
P1190,Sports,1981.21,1755.11,Medium,Festival,Wednesday,303,394,2.29
P1191,Toys,684.25,1709.46,Low,Summer,Wednesday,46,419,2.24
P1192,Clothing,1885.48,1565.55,Medium,Autumn,Wednesday,87,51,1.5
P1193,Home Appliances,1833.73,574.65,Low,Winter,Friday,4,711,4.73
P1194,Home Appliances,72.39,1633.18,Low,Summer,Friday,266,132,3.55
P1195,Beauty,927.73,1090.28,Medium,Spring,Tuesday,107,710,1.11
P1196,Sports,1955.35,152.88,Medium,Spring,Saturday,75,261,3.65
P1197,Electronics,251.09,941.03,Low,Summer,Sunday,40,982,2.79
P1198,Electronics,1118.18,1887.21,Low,Winter,Saturday,127,613,4.89
P1199,Toys,1958.97,1781.33,Low,Spring,Monday,183,493,4.28
P1200,Beauty,1133.22,249.42,High,Monsoon,Friday,119,222,1.69
P1201,Books,420.14,1501.05,Low,Winter,Tuesday,73,839,3.88
P1202,Toys,1185.26,1621.3,Medium,Festival,Tuesday,40,723,2.94
P1203,Beauty,448.66,579.21,High,Autumn,Thursday,204,277,1.75
P1204,Sports,1063.42,969.64,Medium,Summer,Friday,465,676,3.79
P1205,Sports,194.38,1436.43,High,Autumn,Tuesday,96,716,3.19
P1206,Sports,1230.69,906.13,High,Festival,Thursday,279,549,1.12
P1207,Sports,1057.74,269.95,Medium,Spring,Monday,143,715,3.59
P1208,Sports,1493.31,1426.47,High,Monsoon,Thursday,115,933,3.54
P1209,Beauty,1279.87,1827.7,Medium,Winter,Monday,476,744,1.58
P1210,Beauty,1121.73,1322.35,Low,Winter,Saturday,372,628,2.4
P1211,Home Appliances,1395.07,1558.91,High,Festival,Saturday,486,670,3.34
P1212,Electronics,330.69,748.81,Medium,Summer,Wednesday,133,144,1.56
P1213,Clothing,1210.95,407.24,High,Autumn,Wednesday,168,507,4.41
P1214,Sports,385.62,1303.41,Medium,Monsoon,Sunday,402,616,1.11
P1215,Books,1854.77,689.15,Low,Spring,Thursday,245,791,1.41
P1216,Clothing,183.25,1727.14,Low,Summer,Sunday,277,944,1.46
P1217,Beauty,889.23,289.12,High,Monsoon,Wednesday,463,895,3.11
P1218,Books,1406.81,895.25,High,Monsoon,Friday,259,135,3.48
P1219,Books,943.14,823.62,Medium,Festival,Thursday,46,368,2.61
P1220,Books,229.59,1879.21,Medium,Festival,Tuesday,346,512,2.15
P1221,Home Appliances,1129.09,348.61,High,Winter,Friday,335,850,4.24
P1222,Beauty,1301.18,69.2,Medium,Spring,Sunday,383,992,1.27
P1223,Books,1422.4,514.27,Medium,Summer,Thursday,237,327,2.12
P1224,Sports,777.86,1649.54,Medium,Winter,Sunday,53,21,1.16
P1225,Toys,1149.14,458.18,High,Spring,Saturday,148,486,1.06
P1226,Books,928.84,519.71,Low,Autumn,Monday,187,303,2.41
P1227,Home Appliances,1360.51,303.3,Low,Autumn,Sunday,21,963,1.78
P1228,Clothing,1187.94,1445.1,Medium,Winter,Wednesday,90,449,2.07
P1229,Beauty,1075.22,184.89,High,Summer,Wednesday,233,816,4.28
P1230,Home Appliances,536.57,695.86,Medium,Spring,Wednesday,215,863,1.65
P1231,Books,53.94,600.87,Low,Autumn,Thursday,369,525,4.12
P1232,Beauty,389.46,1132.56,Medium,Autumn,Friday,51,825,3.7
P1233,Toys,278.28,1474.31,Low,Summer,Monday,153,400,2.31
P1234,Books,925.72,1089.11,High,Winter,Wednesday,324,325,3.19
P1235,Home Appliances,1243.9,1865.5,Medium,Festival,Friday,116,689,2.78
P1236,Electronics,465.52,1905.31,High,Monsoon,Sunday,394,17,1.51
P1237,Sports,1881.16,754.86,Medium,Spring,Tuesday,214,517,4.63
P1238,Clothing,63.03,1566.48,Medium,Autumn,Saturday,451,133,3.28
P1239,Home Appliances,1555.99,1490.66,Medium,Monsoon,Tuesday,339,381,4.52
P1240,Beauty,1269.15,1791.28,Medium,Monsoon,Monday,351,323,4.3
P1241,Books,778.43,923.49,Medium,Festival,Wednesday,137,194,1.32
P1242,Sports,148.45,1084.42,High,Monsoon,Tuesday,285,556,1.83
P1243,Books,1273.6,860.76,High,Summer,Saturday,421,594,1.58
P1244,Beauty,801.95,1708.23,Low,Winter,Friday,366,892,4.32
P1245,Books,1875.72,497.92,Medium,Spring,Friday,71,534,4.45
P1246,Electronics,1106.88,517.43,Low,Summer,Tuesday,245,48,3.11
P1247,Sports,1882.32,776.58,High,Winter,Sunday,38,93,1.42
P1248,Sports,479.94,499.17,Low,Summer,Sunday,216,30,1.54
P1249,Beauty,1465.17,1143.96,High,Autumn,Wednesday,127,262,4.25
P1250,Clothing,1253.64,312.26,Medium,Autumn,Saturday,72,312,4.72
P1251,Electronics,1491.85,674.36,Low,Festival,Monday,226,988,1.8
P1252,Home Appliances,468.6,1831.22,Low,Summer,Wednesday,315,267,1.04
P1253,Books,1346.74,847.99,Low,Monsoon,Thursday,441,821,2.32
P1254,Toys,1021.18,1509.06,Low,Autumn,Tuesday,474,551,1.12
P1255,Books,1498.51,271.25,Medium,Winter,Thursday,444,992,4.31
P1256,Books,687.74,532.75,High,Festival,Tuesday,284,649,2.97
P1257,Home Appliances,1785.61,1624.32,High,Monsoon,Monday,412,832,3.57
P1258,Books,214.39,1537.84,Medium,Spring,Wednesday,302,561,2.65
P1259,Electronics,1624.02,803,High,Summer,Saturday,246,470,2.38
P1260,Electronics,1729.57,1911.07,Low,Autumn,Sunday,71,618,1.89
P1261,Sports,1643.64,1825.75,Medium,Monsoon,Sunday,195,233,4.08
P1262,Beauty,1049.82,1926.49,High,Winter,Wednesday,470,101,3.78
P1263,Clothing,904.85,884.43,Medium,Summer,Tuesday,439,289,2.44
P1264,Toys,1992.71,435.07,Medium,Winter,Sunday,38,179,2.28
P1265,Books,496.89,1271.98,High,Festival,Friday,117,805,1
P1266,Books,1116.41,1385.31,High,Autumn,Thursday,238,743,1.25
P1267,Home Appliances,1357.82,294.61,Medium,Autumn,Saturday,364,638,3.49
P1268,Beauty,1416.69,1583.64,Medium,Festival,Saturday,402,257,3.06
P1269,Electronics,447.85,85.22,High,Winter,Sunday,204,370,2.74
P1270,Toys,1325.29,991.32,Medium,Summer,Wednesday,351,358,4.31
P1271,Sports,1645.82,695.48,High,Winter,Wednesday,319,875,3.02
P1272,Electronics,147.54,1493.59,Medium,Summer,Tuesday,359,444,2.54
P1273,Beauty,1827.47,659.88,Medium,Monsoon,Friday,5,415,1.65
P1274,Clothing,107.53,1662.27,Medium,Festival,Thursday,428,610,4.28
P1275,Sports,744.14,1210.16,High,Spring,Friday,489,87,3.3
P1276,Clothing,80.84,1598.09,Low,Summer,Saturday,157,467,1.37
P1277,Home Appliances,200.43,1979.21,High,Autumn,Friday,107,595,3.6
P1278,Home Appliances,1826.78,1374.36,Medium,Monsoon,Sunday,228,401,2.7
P1279,Books,741.98,1970.65,Low,Autumn,Tuesday,142,23,4.25
P1280,Clothing,878.3,106.23,Low,Monsoon,Friday,314,54,4.68
P1281,Beauty,469.92,709.37,Medium,Autumn,Thursday,172,47,3.4
P1282,Toys,1214.34,260.31,High,Winter,Saturday,146,425,3.93
P1283,Sports,1209.87,561.49,Low,Winter,Monday,7,254,1.23
P1284,Electronics,775.79,1685.83,Low,Winter,Saturday,343,71,3.24
P1285,Beauty,699.42,113.03,High,Monsoon,Monday,353,502,4.02
P1286,Beauty,1775.68,1064.36,High,Monsoon,Thursday,446,617,2.99
P1287,Home Appliances,797.4,1155.9,Low,Autumn,Saturday,301,332,3.37
P1288,Clothing,1012.33,1144.24,High,Summer,Saturday,16,261,4.6
P1289,Books,602.44,976.83,Low,Monsoon,Saturday,320,477,1.79
P1290,Books,1584.2,1591.68,Medium,Autumn,Saturday,37,70,1.39
P1291,Sports,825.02,310.41,High,Summer,Tuesday,499,790,3.76
P1292,Home Appliances,1051.54,655.63,Low,Winter,Wednesday,153,128,4.29
P1293,Beauty,544.05,1250.67,High,Monsoon,Saturday,265,96,4.4
P1294,Toys,1975.94,1397.36,High,Spring,Tuesday,183,604,3.57
P1295,Home Appliances,618.42,838.09,Low,Winter,Thursday,156,89,4.33
P1296,Sports,1552.95,1756.97,Medium,Festival,Saturday,137,237,3.8
P1297,Sports,883.62,860.21,Low,Summer,Friday,396,492,1.35
P1298,Home Appliances,452.12,835.41,High,Spring,Saturday,402,824,4.05
P1299,Sports,1609.45,120.6,Low,Winter,Sunday,475,632,1.72
P1300,Home Appliances,700.53,1124.73,High,Monsoon,Saturday,90,891,1.95
P1301,Electronics,1737.13,1431.93,Low,Spring,Monday,440,319,2.58
P1302,Home Appliances,1834.75,273.15,Medium,Autumn,Friday,218,592,2.26
P1303,Clothing,1726.66,645.59,Medium,Summer,Saturday,330,957,2.29
P1304,Home Appliances,118.27,1573.45,Medium,Festival,Saturday,186,494,1.68
P1305,Sports,1585.38,763.54,Medium,Autumn,Saturday,381,849,2.18
P1306,Clothing,852.11,521.12,Low,Spring,Tuesday,209,34,1.08
P1307,Sports,1753.76,1360.79,Medium,Winter,Thursday,51,800,2.89
P1308,Books,1294.01,433.68,Low,Summer,Monday,288,211,4.07
P1309,Books,1675.6,1796.52,High,Monsoon,Saturday,88,935,4.45
P1310,Clothing,1023.89,255.92,High,Festival,Thursday,491,234,4.28
P1311,Electronics,1093.3,1427.77,High,Winter,Monday,432,788,2.67
P1312,Books,331.56,1024.12,Medium,Festival,Monday,136,519,3.92
P1313,Home Appliances,1578.78,1746.36,Medium,Monsoon,Sunday,158,940,2.15
P1314,Sports,867.81,296.08,Medium,Summer,Monday,282,804,1.22
P1315,Books,1025.16,1371.9,High,Spring,Saturday,408,638,3.7
P1316,Books,1580.94,1165.51,High,Festival,Tuesday,155,588,3.6
P1317,Electronics,1217.75,986.18,High,Summer,Saturday,463,568,4.21
P1318,Clothing,442.14,1008.24,High,Festival,Saturday,220,762,3.46
P1319,Clothing,1200.95,1457.86,Low,Winter,Thursday,459,699,1.63
P1320,Beauty,844.88,1878.6,Low,Festival,Wednesday,167,529,4.41
P1321,Electronics,965.57,227.94,Medium,Winter,Wednesday,322,192,3.51
P1322,Home Appliances,105.21,88.03,Medium,Winter,Sunday,179,86,4.23
P1323,Clothing,459.56,1621.12,High,Summer,Wednesday,329,435,4.1
P1324,Sports,598.02,260.93,Low,Autumn,Thursday,50,76,2.19
P1325,Electronics,1440.27,1974.06,Low,Monsoon,Friday,301,669,1.3
P1326,Books,72.41,1257.73,Medium,Festival,Sunday,87,503,1.71
P1327,Sports,847.12,1319.19,Low,Spring,Thursday,33,694,1.37
P1328,Sports,1851.85,437.84,Medium,Winter,Monday,275,556,1.97
P1329,Books,268.17,518.61,High,Autumn,Saturday,141,86,2.84
P1330,Electronics,1057.03,1335.73,High,Winter,Friday,206,925,4.63
P1331,Books,1583.72,1823.97,Medium,Autumn,Monday,224,801,4.49
P1332,Beauty,1887.94,1965.66,High,Autumn,Sunday,113,706,3.87
P1333,Sports,1506.21,436.16,High,Spring,Saturday,278,64,1.1
P1334,Toys,1455.1,311.53,Low,Autumn,Saturday,404,914,2.37
P1335,Toys,1661.65,159.98,Low,Spring,Sunday,353,615,3.73
P1336,Home Appliances,920.09,1743.18,Low,Summer,Monday,5,482,1.52
P1337,Clothing,1621.4,624.69,Low,Winter,Thursday,382,665,4.2
P1338,Books,65.53,53.53,Low,Spring,Wednesday,212,256,4.66
P1339,Books,1852.89,486.45,Medium,Monsoon,Friday,256,448,2.42
P1340,Home Appliances,914.45,713.86,Medium,Winter,Sunday,334,721,3.82
P1341,Home Appliances,1129.09,1982.42,Low,Monsoon,Sunday,475,757,1.59
P1342,Home Appliances,547.02,1070.91,High,Festival,Saturday,474,323,3.76
P1343,Sports,1497.94,449.19,High,Monsoon,Tuesday,416,329,1.09
P1344,Beauty,199.44,702.9,Medium,Summer,Saturday,30,229,1.6
P1345,Books,1751.64,694.1,Medium,Festival,Wednesday,347,853,3.84
P1346,Sports,1664.83,88.47,Medium,Festival,Saturday,410,380,3.85
P1347,Home Appliances,471.32,313.61,High,Autumn,Tuesday,82,225,3.56
P1348,Books,1628.18,1405.63,Medium,Monsoon,Sunday,493,58,2.91
P1349,Sports,1583.4,284.49,High,Autumn,Thursday,471,806,3.7
P1350,Beauty,1282.82,499.93,Medium,Monsoon,Saturday,236,472,4.1
P1351,Sports,778.36,733.94,High,Festival,Friday,495,127,4.87
P1352,Beauty,579.42,1527.58,Medium,Autumn,Thursday,344,91,4.55
P1353,Home Appliances,501.98,1185.68,Medium,Winter,Tuesday,388,272,4.18
P1354,Beauty,671.29,1393.55,High,Monsoon,Monday,361,598,3.78
P1355,Books,1811.94,1155.67,Medium,Monsoon,Saturday,323,732,3.3
P1356,Home Appliances,201.4,1383.01,Low,Autumn,Sunday,253,505,1.48
P1357,Books,1666.3,55.54,High,Monsoon,Sunday,118,643,1.66
P1358,Toys,730.34,1865.25,Medium,Festival,Thursday,427,846,4.28
P1359,Electronics,1067.12,266.29,High,Autumn,Saturday,30,611,4.21
P1360,Beauty,1599.25,842.19,Medium,Autumn,Friday,111,779,3.46
P1361,Electronics,1774.53,1553.52,Low,Spring,Saturday,400,682,2.76
P1362,Electronics,722.32,898.7,Medium,Spring,Thursday,254,185,1.1
